ID,Lake,Date,Site,Gear,Gear Type,Standard,Haul Number,Tow Length,Day/Night,Species,Age Group,Number Caught,Latitude,Longitude,Crew,Comments
144666,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,bluegill,adult,2,43.18118333,-75.95891667,Brooking,
144667,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,brook silverside,all,1,43.18118333,-75.95891667,Brooking,
144668,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,emerald shiner,all,7,43.18118333,-75.95891667,Brooking,
144669,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,golden shiner,all,3,43.18118333,-75.95891667,Brooking,
144670,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,banded killifish,all,155,43.18118333,-75.95891667,Brooking,
144671,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,logperch,all,5,43.18118333,-75.95891667,Brooking,
144672,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,pumpkinseed,adult,1,43.18118333,-75.95891667,Brooking,
144673,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,rock bass,adult,1,43.18118333,-75.95891667,Brooking,
144674,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,round goby,all,19,43.18118333,-75.95891667,Brooking,
144675,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,smallmouth bass,yoy,8,43.18118333,-75.95891667,Brooking,
144676,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,yellow perch,yoy,682,43.18118333,-75.95891667,Brooking,
144677,Oneida Lake,7/17/17,Damon Point Site 1,bs,c,yes,1,75.3,d,yellow perch,adult,63,43.18118333,-75.95891667,Brooking,
144678,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,brown bullhead,adult,1,43.18093333,-75.95826667,Brooking,
144679,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,freshwater drum,adult,1,43.18093333,-75.95826667,Brooking,
144680,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,banded killifish,all,19,43.18093333,-75.95826667,Brooking,
144681,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,logperch,all,69,43.18093333,-75.95826667,Brooking,
144682,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,round goby,all,16,43.18093333,-75.95826667,Brooking,
144683,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,smallmouth bass,yoy,1,43.18093333,-75.95826667,Brooking,
144684,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,smallmouth bass,adult,4,43.18093333,-75.95826667,Brooking,
144685,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,yellow perch,yoy,170,43.18093333,-75.95826667,Brooking,
144686,Oneida Lake,7/17/17,Damon Point Site 2,bs,c,yes,1,50.7,d,yellow perch,adult,23,43.18093333,-75.95826667,Brooking,
144687,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,bluntnose minnow,all,1,43.18031667,-75.95905,Brooking,
144688,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,freshwater drum,adult,1,43.18031667,-75.95905,Brooking,
144689,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,banded killifish,all,21,43.18031667,-75.95905,Brooking,
144690,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,logperch,all,4,43.18031667,-75.95905,Brooking,
144691,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,pumpkinseed,adult,1,43.18031667,-75.95905,Brooking,
144692,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,round goby,all,71,43.18031667,-75.95905,Brooking,
144693,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,smallmouth bass,yoy,9,43.18031667,-75.95905,Brooking,
144694,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,smallmouth bass,adult,1,43.18031667,-75.95905,Brooking,
144695,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,spottail shiner,all,1,43.18031667,-75.95905,Brooking,
144696,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,shiner sp.,all,1,43.18031667,-75.95905,Brooking,
144697,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,walleye,yoy,2,43.18031667,-75.95905,Brooking,
144698,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,yellow perch,yoy,134,43.18031667,-75.95905,Brooking,
144699,Oneida Lake,7/17/17,Damon Point Site 3,bs,c,yes,1,51.9,d,yellow perch,adult,19,43.18031667,-75.95905,Brooking,
144700,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,bluegill,adult,1,43.17003333,-75.92338333,Brooking,
144701,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,emerald shiner,all,2,43.17003333,-75.92338333,Brooking,
144702,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,golden shiner,all,3,43.17003333,-75.92338333,Brooking,
144703,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,banded killifish,all,75,43.17003333,-75.92338333,Brooking,
144704,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,largemouth bass,adult,1,43.17003333,-75.92338333,Brooking,
144705,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,pumpkinseed,adult,7,43.17003333,-75.92338333,Brooking,
144706,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,rock bass,yoy,1,43.17003333,-75.92338333,Brooking,
144707,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,rock bass,adult,7,43.17003333,-75.92338333,Brooking,
144708,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,round goby,all,8,43.17003333,-75.92338333,Brooking,
144709,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,smallmouth bass,yoy,5,43.17003333,-75.92338333,Brooking,
144710,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,white sucker,yoy,2,43.17003333,-75.92338333,Brooking,
144711,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,yellow perch,yoy,1137,43.17003333,-75.92338333,Brooking,
144712,Oneida Lake,7/17/17,Dutchman Island Site 1,bs,c,yes,1,45,d,yellow perch,adult,205,43.17003333,-75.92338333,Brooking,
144713,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,bluntnose minnow,all,4,43.17008333,-75.92535,Brooking,
144714,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,emerald shiner,all,1,43.17008333,-75.92535,Brooking,
144715,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,banded killifish,all,5,43.17008333,-75.92535,Brooking,
144716,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,pumpkinseed,adult,1,43.17008333,-75.92535,Brooking,
144717,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,rock bass,adult,1,43.17008333,-75.92535,Brooking,
144718,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,round goby,all,5,43.17008333,-75.92535,Brooking,
144719,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,smallmouth bass,yoy,1,43.17008333,-75.92535,Brooking,
144720,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,yellow perch,yoy,673,43.17008333,-75.92535,Brooking,
144721,Oneida Lake,7/17/17,Dutchman Island Site 2,bs,c,yes,1,36.5,d,yellow perch,adult,89,43.17008333,-75.92535,Brooking,
144722,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,bluegill,adult,7,43.17036667,-75.92503333,Brooking,
144723,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,green sunfish,adult,1,43.17036667,-75.92503333,Brooking,
144724,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,banded killifish,all,40,43.17036667,-75.92503333,Brooking,
144725,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,largemouth bass,yoy,1,43.17036667,-75.92503333,Brooking,
144726,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,largemouth bass,adult,1,43.17036667,-75.92503333,Brooking,
144727,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,logperch,all,1,43.17036667,-75.92503333,Brooking,
144728,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,pumpkinseed,adult,11,43.17036667,-75.92503333,Brooking,
144729,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,rock bass,adult,4,43.17036667,-75.92503333,Brooking,
144730,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,round goby,all,24,43.17036667,-75.92503333,Brooking,
144731,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,smallmouth bass,yoy,11,43.17036667,-75.92503333,Brooking,
144732,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,white sucker,yoy,8,43.17036667,-75.92503333,Brooking,
144733,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,yellow perch,yoy,555,43.17036667,-75.92503333,Brooking,
144734,Oneida Lake,7/17/17,Dutchman Island Site 3,bs,c,yes,1,49.1,d,yellow perch,adult,118,43.17036667,-75.92503333,Brooking,
144735,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,bluegill,adult,2,43.17035,-75.92351667,Brooking,
144736,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,bluntnose minnow,all,1,43.17035,-75.92351667,Brooking,
144737,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,brown bullhead,adult,1,43.17035,-75.92351667,Brooking,
144738,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,banded killifish,all,16,43.17035,-75.92351667,Brooking,
144739,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,largemouth bass,adult,1,43.17035,-75.92351667,Brooking,
144740,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,pumpkinseed,adult,2,43.17035,-75.92351667,Brooking,
144741,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,round goby,all,158,43.17035,-75.92351667,Brooking,
144742,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,smallmouth bass,yoy,16,43.17035,-75.92351667,Brooking,
144743,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,walleye,yoy,1,43.17035,-75.92351667,Brooking,
144744,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,white sucker,yoy,28,43.17035,-75.92351667,Brooking,
144745,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,yellow perch,yoy,570,43.17035,-75.92351667,Brooking,
144746,Oneida Lake,7/17/17,Dutchman Island Site 4,bs,c,yes,1,24.1,d,yellow perch,adult,94,43.17035,-75.92351667,Brooking,
144747,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,bluegill,adult,3,43.17261667,-75.93041667,Brooking,
144748,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,bluntnose minnow,all,29,43.17261667,-75.93041667,Brooking,
144749,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,brassy minnow,all,27,43.17261667,-75.93041667,Brooking,
144750,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,golden shiner,all,11,43.17261667,-75.93041667,Brooking,
144751,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,banded killifish,all,59,43.17261667,-75.93041667,Brooking,
144752,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,largemouth bass,yoy,1,43.17261667,-75.93041667,Brooking,
144753,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,largemouth bass,adult,4,43.17261667,-75.93041667,Brooking,
144754,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,logperch,all,6,43.17261667,-75.93041667,Brooking,
144755,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,pumpkinseed,adult,103,43.17261667,-75.93041667,Brooking,
144756,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,rock bass,adult,2,43.17261667,-75.93041667,Brooking,
144757,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,round goby,all,33,43.17261667,-75.93041667,Brooking,
144758,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,smallmouth bass,yoy,5,43.17261667,-75.93041667,Brooking,
144759,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,spottail shiner,all,6,43.17261667,-75.93041667,Brooking,
144760,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,white perch,yoy,13,43.17261667,-75.93041667,Brooking,
144761,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,yellow perch,yoy,159,43.17261667,-75.93041667,Brooking,
144762,Oneida Lake,7/17/17,Shackelton Point Site 1,bs,c,yes,1,43.2,d,yellow perch,adult,88,43.17261667,-75.93041667,Brooking,
144763,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,bluegill,adult,7,43.1722,-75.9301,Brooking,
144764,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,bluntnose minnow,all,10,43.1722,-75.9301,Brooking,
144765,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,fathead minnow,all,1,43.1722,-75.9301,Brooking,
144766,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,golden shiner,all,7,43.1722,-75.9301,Brooking,
144767,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,banded killifish,all,62,43.1722,-75.9301,Brooking,
144768,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,largemouth bass,yoy,2,43.1722,-75.9301,Brooking,
144769,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,logperch,all,3,43.1722,-75.9301,Brooking,
144770,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,pumpkinseed,adult,11,43.1722,-75.9301,Brooking,
144771,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,pumpkinseed,adult,13,43.1722,-75.9301,Brooking,
144772,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,rock bass,adult,7,43.1722,-75.9301,Brooking,
144773,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,round goby,all,54,43.1722,-75.9301,Brooking,
144774,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,smallmouth bass,yoy,6,43.1722,-75.9301,Brooking,
144775,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,shiner sp.,all,1,43.1722,-75.9301,Brooking,
144776,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,walleye,yoy,4,43.1722,-75.9301,Brooking,
144777,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,white perch,yoy,7,43.1722,-75.9301,Brooking,
144778,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,white sucker,yoy,1,43.1722,-75.9301,Brooking,
144779,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,yellow perch,yoy,584,43.1722,-75.9301,Brooking,
144780,Oneida Lake,7/17/17,Shackelton Point Site 2,bs,c,yes,1,34.7,d,yellow perch,adult,95,43.1722,-75.9301,Brooking,
144781,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,yellow perch,adult,5,,,Brooking,
144782,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,round goby,all,87,,,Brooking,
144783,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,yellow perch,yoy,43,,,Brooking,
144784,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,logperch,all,62,,,Brooking,
144785,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,banded killifish,all,6,,,Brooking,
144786,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,smallmouth bass,yoy,9,,,Brooking,
144787,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,white perch,yoy,2,,,Brooking,
144788,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,lepomis sp.,yoy,2,,,Brooking,
144789,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,golden shiner,all,1,,,Brooking,
144790,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,spottail shiner,all,1,,,Brooking,
144791,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,satinfin shiner,all,1,,,Brooking,
144792,Oneida Lake,8/14/17,Damon Point Site 1,bs,c,yes,1,,d,largemouth bass,yoy,1,,,Brooking,
144793,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,largemouth bass,adult,1,,,Brooking,
144794,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,banded killifish,all,5,,,Brooking,
144795,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,bluntnose minnow,all,2,,,Brooking,
144796,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,yellow perch,adult,5,,,Brooking,
144797,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,round goby,all,89,,,Brooking,
144798,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,yellow perch,yoy,124,,,Brooking,
144799,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,logperch,all,144,,,Brooking,
144800,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,lepomis sp.,yoy,35,,,Brooking,
144801,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,rock bass,yoy,4,,,Brooking,
144802,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,largemouth bass,yoy,2,,,Brooking,
144803,Oneida Lake,8/14/17,Damon Point Site 2,bs,c,yes,1,,d,golden shiner,all,24,,,Brooking,
144804,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,round goby,all,112,,,Brooking,
144805,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,banded killifish,all,160,,,Brooking,
144806,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,logperch,all,67,,,Brooking,
144807,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,yellow perch,adult,10,,,Brooking,
144808,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,lepomis sp.,yoy,9,,,Brooking,
144809,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,yellow perch,yoy,110,,,Brooking,
144810,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,emerald shiner,all,25,,,Brooking,
144811,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,white perch,yoy,34,,,Brooking,
144812,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,golden shiner,all,9,,,Brooking,
144813,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,largemouth bass,yoy,1,,,Brooking,
144814,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,smallmouth bass,yoy,3,,,Brooking,
144815,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,spottail shiner,all,1,,,Brooking,
144816,Oneida Lake,8/14/17,Damon Point Site 3,bs,c,yes,1,,d,bluntnose minnow,all,1,,,Brooking,
144817,Oneida Lake,8/14/17,Dutchman Island Site 1,bs,c,yes,1,,d,yellow perch,adult,4,,,Brooking,
144818,Oneida Lake,8/14/17,Dutchman Island Site 1,bs,c,yes,1,,d,banded killifish,all,9,,,Brooking,
144819,Oneida Lake,8/14/17,Dutchman Island Site 1,bs,c,yes,1,,d,spottail shiner,all,1,,,Brooking,
144820,Oneida Lake,8/14/17,Dutchman Island Site 1,bs,c,yes,1,,d,rock bass,adult,1,,,Brooking,
